id,label,from,to,prop.linkId,prop.kind,prop.medium,prop.status
seoul-core,CONTAINS_DEVICE,site-seoul,device-router-core,,primary,,active
seoul-edge-a,CONTAINS_DEVICE,site-seoul,device-router-edge-a,,primary,,active
seoul-edge-b,CONTAINS_DEVICE,site-seoul,device-router-edge-b,,primary,,active
seoul-access-a,CONTAINS_DEVICE,site-seoul,device-switch-access-a,,primary,,active
busan-access-b,CONTAINS_DEVICE,site-busan,device-switch-access-b,,primary,,active
busan-iot,CONTAINS_DEVICE,site-busan,device-switch-iot,,primary,,active
busan-lab,CONTAINS_DEVICE,site-busan,device-switch-lab,,primary,,active
link-core-edge-a,CONNECTED_TO,device-router-core,device-router-edge-a,link-core-edge-a,uplink,fiber,active
link-core-edge-b,CONNECTED_TO,device-router-core,device-router-edge-b,link-core-edge-b,uplink,fiber,active
link-edge-a-access-a,CONNECTED_TO,device-router-edge-a,device-switch-access-a,link-edge-a-access-a,access,fiber,active
link-edge-b-access-b,CONNECTED_TO,device-router-edge-b,device-switch-access-b,link-edge-b-access-b,access,fiber,active
link-access-a-b,CONNECTED_TO,device-switch-access-a,device-switch-access-b,link-access-a-b,redundant,ethernet,active
link-b-iot,CONNECTED_TO,device-switch-access-b,device-switch-iot,link-b-iot,access,ethernet,active
link-b-lab-down,CONNECTED_TO,device-switch-access-b,device-switch-lab,link-b-lab-down,maintenance,ethernet,down
core-transit-core,MEMBER_OF_SEGMENT,device-router-core,segment-core,,member,,active
core-transit-edge-a,MEMBER_OF_SEGMENT,device-router-edge-a,segment-core,,member,,active
core-transit-edge-b,MEMBER_OF_SEGMENT,device-router-edge-b,segment-core,,member,,active
app-segment-access-a,MEMBER_OF_SEGMENT,device-switch-access-a,segment-app,,member,,active
app-segment-access-b,MEMBER_OF_SEGMENT,device-switch-access-b,segment-app,,member,,active
iot-segment-switch,MEMBER_OF_SEGMENT,device-switch-iot,segment-iot,,member,,active
lab-segment-switch,MEMBER_OF_SEGMENT,device-switch-lab,segment-lab,,member,,active
checkout-on-access-a,HOSTS_SERVICE,device-switch-access-a,service-checkout,,hosts,,active
observability-on-access-b,HOSTS_SERVICE,device-switch-access-b,service-observability,,hosts,,active
cameras-on-iot,HOSTS_SERVICE,device-switch-iot,service-cameras,,hosts,,active
lab-on-lab,HOSTS_SERVICE,device-switch-lab,service-lab,,hosts,,active
