id,label,from,to,prop.kind
sup-alpha-cell,SUPPLIES,supplier-alpha,part-battery-cell,primary
sup-beta-module,SUPPLIES,supplier-beta,part-battery-module,primary
sup-gamma-gps,SUPPLIES,supplier-gamma,part-gps-module,sole-source
req-cell-order-1001,REQUIRED_BY,part-battery-cell,order-1001,bom
req-module-order-1002,REQUIRED_BY,part-battery-module,order-1002,bom
req-gps-order-1001,REQUIRED_BY,part-gps-module,order-1001,bom
req-gps-order-1002,REQUIRED_BY,part-gps-module,order-1002,bom
stock-cell-west,STOCKED_AT,part-battery-cell,warehouse-west,on-hand
stock-module-west,STOCKED_AT,part-battery-module,warehouse-west,on-hand
stock-gps-east,STOCKED_AT,part-gps-module,warehouse-east,on-hand
route-west-pacific,USES_ROUTE,warehouse-west,route-pacific,fulfillment
route-west-air,USES_ROUTE,warehouse-west,route-air-express,fulfillment
route-east-rail,USES_ROUTE,warehouse-east,route-rail-east,fulfillment
deliver-pacific-1001,DELIVERS_TO,route-pacific,order-1001,planned
deliver-air-1001,DELIVERS_TO,route-air-express,order-1001,alternate
deliver-rail-1002,DELIVERS_TO,route-rail-east,order-1002,planned
carrier-ocean-pacific,OPERATES_ROUTE,carrier-ocean,route-pacific,contracted
carrier-air-express,OPERATES_ROUTE,carrier-air,route-air-express,contracted
alt-cell-module,ALTERNATE_PART,part-battery-cell,part-battery-module,engineering-approved
alt-module-cell,ALTERNATE_PART,part-battery-module,part-battery-cell,engineering-approved
